USA,Database,Name,Accession,Type,Length,GC,CAI,Organism,Description
fasta::barcode71.ffn:bc71_02354,-,bc71_02354,-,N,2592,65.62,0.816,,Aconitate hydratase B
fasta::barcode71.ffn:bc71_02355,-,bc71_02355,-,N,408,66.18,0.776,,PIN domain protein
fasta::barcode71.ffn:bc71_02356,-,bc71_02356,-,N,258,65.5,0.619,,Antidote-toxin recognition MazE bacterial antitoxin
fasta::barcode71.ffn:bc71_02357,-,bc71_02357,-,N,2769,65.4,0.807,,Aconitate hydratase A
fasta::barcode71.ffn:bc71_02358,-,bc71_02358,-,N,447,70.25,0.644,,hypothetical protein
fasta::barcode71.ffn:bc71_02359,-,bc71_02359,-,N,1683,62.57,0.77,,23-dihydroxybenzoate adenylase DhbE 
fasta::barcode71.ffn:bc71_02360,-,bc71_02360,-,N,870,62.3,0.622,,Fatty acid oxidation complex subunit alpha
fasta::barcode71.ffn:bc71_02361,-,bc71_02361,-,N,2181,63.14,0.645,,Sensory/regulatory protein RpfC
fasta::barcode71.ffn:bc71_02362,-,bc71_02362,-,N,615,63.25,0.477,,Sensory/regulatory protein RpfC
fasta::barcode71.ffn:bc71_02363,-,bc71_02363,-,N,1137,63.94,0.669,,Cyclic di-GMP phosphodiesterase response regulator RpfG
fasta::barcode71.ffn:bc71_02364,-,bc71_02364,-,N,1518,65.81,0.777,,Lysine--tRNA ligase
fasta::barcode71.ffn:bc71_02365,-,bc71_02365,-,N,942,64.12,0.84,,Peptide chain release factor RF2
fasta::barcode71.ffn:bc71_02366,-,bc71_02366,-,N,918,66.78,0.688,,LytTr DNA-binding domain protein
fasta::barcode71.ffn:bc71_02367,-,bc71_02367,-,N,327,59.94,0.577,,Acyltransferase family protein
fasta::barcode71.ffn:bc71_02368,-,bc71_02368,-,N,873,62.77,0.52,,Acyltransferase family protein
fasta::barcode71.ffn:bc71_02369,-,bc71_02369,-,N,1263,66.51,0.63,,Acyltransferase family protein
fasta::barcode71.ffn:bc71_02370,-,bc71_02370,-,N,1029,69,0.717,,hypothetical protein
fasta::barcode71.ffn:bc71_02371,-,bc71_02371,-,N,1749,68.78,0.682,,Single-stranded-DNA-specific exonuclease RecJ
fasta::barcode71.ffn:bc71_02372,-,bc71_02372,-,N,921,69.71,0.718,,hypothetical protein
fasta::barcode71.ffn:bc71_02373,-,bc71_02373,-,N,477,64.15,0.791,,Transcription elongation factor GreA
fasta::barcode71.ffn:bc71_02374,-,bc71_02374,-,N,3243,65.22,0.817,,carbamoyl phosphate synthase large subunit 
fasta::barcode71.ffn:bc71_02375,-,bc71_02375,-,N,552,67.57,0.667,,hypothetical protein
fasta::barcode71.ffn:bc71_02376,-,bc71_02376,-,N,1128,65.43,0.756,,carbamoyl phosphate synthase small subunit 
fasta::barcode71.ffn:bc71_02377,-,bc71_02377,-,N,669,70.25,0.72,,4-hydroxy-tetrahydrodipicolinate reductase
fasta::barcode71.ffn:bc71_02378,-,bc71_02378,-,N,729,70.23,0.709,,Protein YiiM
fasta::barcode71.ffn:bc71_02379,-,bc71_02379,-,N,1203,66.75,0.714,,2-aminoadipate transaminase
fasta::barcode71.ffn:bc71_02380,-,bc71_02380,-,N,501,62.28,0.718,,hypothetical protein
fasta::barcode71.ffn:bc71_02381,-,bc71_02381,-,N,249,70.68,0.625,,hypothetical protein
fasta::barcode71.ffn:bc71_02382,-,bc71_02382,-,N,1860,66.88,0.757,,Fe(2+ transporter permease subunit FeoB 
fasta::barcode71.ffn:bc71_02383,-,bc71_02383,-,N,291,62.89,0.55,,FeoA domain protein
fasta::barcode71.ffn:bc71_02384,-,bc71_02384,-,N,798,69.55,0.717,,Short-chain-enoyl-CoA hydratase
fasta::barcode71.ffn:bc71_02385,-,bc71_02385,-,N,897,70.12,0.797,,3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase
fasta::barcode71.ffn:bc71_02386,-,bc71_02386,-,N,771,68.48,0.709,,3-ketoacyl-ACP-reductase CylG 
fasta::barcode71.ffn:bc71_02387,-,bc71_02387,-,N,567,62.96,0.828,,Elongation factor P-like protein
fasta::barcode71.ffn:bc71_02388,-,bc71_02388,-,N,402,68.66,0.752,,hypothetical protein
fasta::barcode71.ffn:bc71_02389,-,bc71_02389,-,N,1866,66.93,0.59,,hypothetical protein
fasta::barcode71.ffn:bc71_02390,-,bc71_02390,-,N,294,65.65,0.572,,hypothetical protein
fasta::barcode71.ffn:bc71_02391,-,bc71_02391,-,N,1419,66.03,0.74,,putative FAD-linked oxidoreductase
fasta::barcode71.ffn:bc71_02392,-,bc71_02392,-,N,1242,64.98,0.78,,D-3-phosphoglycerate dehydrogenase
fasta::barcode71.ffn:bc71_02393,-,bc71_02393,-,N,276,68.48,0.683,,hypothetical protein
fasta::barcode71.ffn:bc71_02394,-,bc71_02394,-,N,552,69.38,0.759,,hypothetical protein
fasta::barcode71.ffn:bc71_02395,-,bc71_02395,-,N,1473,60.76,0.609,,putative amino acid permease YhdG
fasta::barcode71.ffn:bc71_02396,-,bc71_02396,-,N,1431,66.39,0.775,,putative amino acid permease YhdG
fasta::barcode71.ffn:bc71_02397,-,bc71_02397,-,N,654,63.15,0.705,,Methylthioribulose-1-phosphate dehydratase
fasta::barcode71.ffn:bc71_02398,-,bc71_02398,-,N,567,62.43,0.744,,Acireductone dioxygenase
fasta::barcode71.ffn:bc71_02399,-,bc71_02399,-,N,699,64.66,0.777,,Enolase-phosphatase E1
fasta::barcode71.ffn:bc71_02400,-,bc71_02400,-,N,1203,65.92,0.625,,Peptidase C13 family protein
fasta::barcode71.ffn:bc71_02401,-,bc71_02401,-,N,1587,67.3,0.686,,3'5'-cyclic adenosine monophosphate phosphodiesterase CpdA
fasta::barcode71.ffn:bc71_02402,-,bc71_02402,-,N,621,66.67,0.737,,Histidine biosynthesis bifunctional protein HisIE
fasta::barcode71.ffn:bc71_02403,-,bc71_02403,-,N,777,66.28,0.705,,Imidazole glycerol phosphate synthase subunit HisF
fasta::barcode71.ffn:bc71_02404,-,bc71_02404,-,N,735,68.16,0.714,,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
fasta::barcode71.ffn:bc71_02405,-,bc71_02405,-,N,603,67.66,0.69,,Imidazole glycerol phosphate synthase subunit HisH
fasta::barcode71.ffn:bc71_02406,-,bc71_02406,-,N,1128,64.36,0.747,,Histidine biosynthesis bifunctional protein HisB
fasta::barcode71.ffn:bc71_02407,-,bc71_02407,-,N,1089,67.22,0.675,,Histidinol-phosphate aminotransferase
fasta::barcode71.ffn:bc71_02408,-,bc71_02408,-,N,1296,67.67,0.699,,Histidinol dehydrogenase
fasta::barcode71.ffn:bc71_02409,-,bc71_02409,-,N,915,69.29,0.733,,ATP phosphoribosyltransferase
fasta::barcode71.ffn:bc71_02410,-,bc71_02410,-,N,405,64.69,0.581,,Trp repressor protein
fasta::barcode71.ffn:bc71_02411,-,bc71_02411,-,N,1434,66.6,0.812,,Histidine--tRNA ligase
fasta::barcode71.ffn:bc71_02412,-,bc71_02412,-,N,762,69.69,0.721,,Nitrogen fixation regulation protein FixK
fasta::barcode71.ffn:bc71_02413,-,bc71_02413,-,N,741,68.15,0.617,,LD-transpeptidase catalytic domain
fasta::barcode71.ffn:bc71_02414,-,bc71_02414,-,N,1308,70.03,0.735,,Threonine synthase
fasta::barcode71.ffn:bc71_02415,-,bc71_02415,-,N,315,63.81,0.777,,hypothetical protein
fasta::barcode71.ffn:bc71_02416,-,bc71_02416,-,N,969,71.31,0.724,,Homoserine kinase
fasta::barcode71.ffn:bc71_02417,-,bc71_02417,-,N,2508,66.75,0.682,,Bifunctional aspartokinase/homoserine dehydrogenase 1
fasta::barcode71.ffn:bc71_02418,-,bc71_02418,-,N,300,62.67,0.581,,Tryptophan-rich protein TspO
fasta::barcode71.ffn:bc71_02419,-,bc71_02419,-,N,162,66.67,0.547,,hypothetical protein
fasta::barcode71.ffn:bc71_02420,-,bc71_02420,-,N,1215,62.3,0.494,,IS4 family transposase IS1481A
fasta::barcode71.ffn:bc71_02421,-,bc71_02421,-,N,228,63.6,0.703,,Hemagglutinin repeat protein
fasta::barcode71.ffn:bc71_02422,-,bc71_02422,-,N,90,44.44,0.447,,hypothetical protein
fasta::barcode71.ffn:bc71_02423,-,bc71_02423,-,N,267,58.8,0.59,,IS3 family transposase IS476
fasta::barcode71.ffn:bc71_02424,-,bc71_02424,-,N,834,62.95,0.63,,IS3 family transposase IS476
fasta::barcode71.ffn:bc71_02425,-,bc71_02425,-,N,8757,65.58,0.559,,Haemagluttinin repeat protein
fasta::barcode71.ffn:bc71_02426,-,bc71_02426,-,N,1176,64.46,0.599,,hemolysin activator protein 
fasta::barcode71.ffn:bc71_02427,-,bc71_02427,-,N,501,66.07,0.519,,POTRA domain ShlB-type
fasta::barcode71.ffn:bc71_02428,-,bc71_02428,-,N,77,64.94,0.411,,tRNA-Arg(cct)
fasta::barcode71.ffn:bc71_02429,-,bc71_02429,-,N,1410,60.85,0.513,,Tyrosine recombinase XerC
fasta::barcode71.ffn:bc71_02430,-,bc71_02430,-,N,5607,57.48,0.426,,hypothetical protein
fasta::barcode71.ffn:bc71_02431,-,bc71_02431,-,N,1644,59.31,0.416,,MobA/MobL family protein
fasta::barcode71.ffn:bc71_02432,-,bc71_02432,-,N,1815,59.34,0.476,,Protein adenylyltransferase SelO
fasta::barcode71.ffn:bc71_02433,-,bc71_02433,-,N,432,56.25,0.438,,RTX toxin acyltransferase family protein
fasta::barcode71.ffn:bc71_02434,-,bc71_02434,-,N,1278,56.49,0.389,,Anhydromuropeptide permease
fasta::barcode71.ffn:bc71_02435,-,bc71_02435,-,N,219,49.32,0.374,,hypothetical protein
fasta::barcode71.ffn:bc71_02436,-,bc71_02436,-,N,591,46.7,0.287,,hypothetical protein
fasta::barcode71.ffn:bc71_02437,-,bc71_02437,-,N,735,51.56,0.362,,hypothetical protein
fasta::barcode71.ffn:bc71_02438,-,bc71_02438,-,N,2217,56.25,0.501,,Hemolysin B 
fasta::barcode71.ffn:bc71_02439,-,bc71_02439,-,N,1299,56.12,0.482,,Colicin V secretion protein CvaA
fasta::barcode71.ffn:bc71_02440,-,bc71_02440,-,N,3795,60.18,0.447,,Zeta toxin
fasta::barcode71.ffn:bc71_02441,-,bc71_02441,-,N,783,51.6,0.405,,hypothetical protein
fasta::barcode71.ffn:bc71_02442,-,bc71_02442,-,N,1698,57.66,0.636,,type IV secretion system component VirD4 
fasta::barcode71.ffn:bc71_02443,-,bc71_02443,-,N,393,59.03,0.408,,hypothetical protein
fasta::barcode71.ffn:bc71_02444,-,bc71_02444,-,N,312,57.37,0.543,,hypothetical protein
fasta::barcode71.ffn:bc71_02445,-,bc71_02445,-,N,393,54.45,0.447,,hypothetical protein
fasta::barcode71.ffn:bc71_02446,-,bc71_02446,-,N,228,53.07,0.472,,hypothetical protein
fasta::barcode71.ffn:bc71_02447,-,bc71_02447,-,N,846,58.63,0.369,,MobA/MobL family protein
fasta::barcode71.ffn:bc71_02448,-,bc71_02448,-,N,813,45.02,0.349,,hypothetical protein
fasta::barcode71.ffn:bc71_02449,-,bc71_02449,-,N,996,55.42,0.472,,Phage integrase family protein
fasta::barcode71.ffn:bc71_02450,-,bc71_02450,-,N,603,53.4,0.438,,hypothetical protein
fasta::barcode71.ffn:bc71_02451,-,bc71_02451,-,N,3444,58.59,0.424,,AAA domain protein
fasta::barcode71.ffn:bc71_02452,-,bc71_02452,-,N,1272,54.4,0.364,,hypothetical protein
fasta::barcode71.ffn:bc71_02453,-,bc71_02453,-,N,1188,52.69,0.395,,Reverse transcriptase (RNA-dependent DNA polymerase)
fasta::barcode71.ffn:bc71_02454,-,bc71_02454,-,N,1068,54.03,0.421,,Ankyrin repeats (3 copies)
fasta::barcode71.ffn:bc71_02455,-,bc71_02455,-,N,1053,53.56,0.424,,hypothetical protein
fasta::barcode71.ffn:bc71_02456,-,bc71_02456,-,N,915,58.91,0.435,,WYL domain protein
fasta::barcode71.ffn:bc71_02457,-,bc71_02457,-,N,951,54.78,0.518,,Second Messenger Oligonucleotide or Dinucleotide Synthetase domain protein
fasta::barcode71.ffn:bc71_02458,-,bc71_02458,-,N,498,54.22,0.502,,Bacterial HORMA domain family 1
fasta::barcode71.ffn:bc71_02459,-,bc71_02459,-,N,897,56.41,0.438,,ATPase family associated with various cellular activities (AAA)
fasta::barcode71.ffn:bc71_02460,-,bc71_02460,-,N,213,60.56,0.496,,hypothetical protein
fasta::barcode71.ffn:bc71_02461,-,bc71_02461,-,N,822,54.87,0.423,,TIR- and PNP-associating SLOG family protein
fasta::barcode71.ffn:bc71_02462,-,bc71_02462,-,N,558,57.35,0.466,,hypothetical protein
fasta::barcode71.ffn:bc71_02463,-,bc71_02463,-,N,951,54.78,0.448,,hypothetical protein
fasta::barcode71.ffn:bc71_02464,-,bc71_02464,-,N,741,51.15,0.411,,hypothetical protein
fasta::barcode71.ffn:bc71_02465,-,bc71_02465,-,N,660,54.55,0.367,,hypothetical protein
fasta::barcode71.ffn:bc71_02466,-,bc71_02466,-,N,1287,54.47,0.327,,7-cyano-7-deazaguanine synthase
fasta::barcode71.ffn:bc71_02467,-,bc71_02467,-,N,822,58.39,0.343,,hypothetical protein
fasta::barcode71.ffn:bc71_02468,-,bc71_02468,-,N,1848,54.55,0.386,,KAP family P-loop domain protein
fasta::barcode71.ffn:bc71_02469,-,bc71_02469,-,N,1533,66.34,0.818,,Alpha-ketoglutaric semialdehyde dehydrogenase
fasta::barcode71.ffn:bc71_02470,-,bc71_02470,-,N,285,65.96,0.681,,hypothetical protein
fasta::barcode71.ffn:bc71_02471,-,bc71_02471,-,N,768,66.41,0.696,,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial
fasta::barcode71.ffn:bc71_02472,-,bc71_02472,-,N,1056,68.28,0.735,,Dihydroorotate dehydrogenase (quinone)
fasta::barcode71.ffn:bc71_02473,-,bc71_02473,-,N,1053,66.38,0.728,,UDP-N-acetylenolpyruvoylglucosamine reductase
fasta::barcode71.ffn:bc71_02474,-,bc71_02474,-,N,909,64.58,0.674,,Riboflavin transporter
fasta::barcode71.ffn:bc71_02475,-,bc71_02475,-,N,705,64.68,0.655,,L-aspartate/glutamate-specific racemase
fasta::barcode71.ffn:bc71_02476,-,bc71_02476,-,N,498,64.26,0.611,,Proline/betaine transporter
fasta::barcode71.ffn:bc71_02477,-,bc71_02477,-,N,783,66.41,0.658,,Ectoine/proline transporter ProP
fasta::barcode71.ffn:bc71_02478,-,bc71_02478,-,N,732,64.62,0.652,,PAP2 superfamily protein
fasta::barcode71.ffn:bc71_02479,-,bc71_02479,-,N,1266,65.8,0.769,,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
fasta::barcode71.ffn:bc71_02480,-,bc71_02480,-,N,1227,69.52,0.78,,Sensor histidine kinase RegB
fasta::barcode71.ffn:bc71_02481,-,bc71_02481,-,N,576,68.92,0.789,,Photosynthetic apparatus regulatory protein RegA
fasta::barcode71.ffn:bc71_02482,-,bc71_02482,-,N,1002,67.17,0.74,,Mannan endo-14-beta-mannosidase
fasta::barcode71.ffn:bc71_02483,-,bc71_02483,-,N,1857,66.83,0.732,,EAL domain protein
fasta::barcode71.ffn:bc71_02484,-,bc71_02484,-,N,1563,62.57,0.762,,Sodium/glucose cotransporter
fasta::barcode71.ffn:bc71_02485,-,bc71_02485,-,N,2613,65.94,0.788,,GH3: beta-glucosidase  and 12 other functions.
fasta::barcode71.ffn:bc71_02486,-,bc71_02486,-,N,1956,66.87,0.742,,hypothetical protein
fasta::barcode71.ffn:bc71_02487,-,bc71_02487,-,N,414,65.46,0.629,,hypothetical protein
fasta::barcode71.ffn:bc71_02488,-,bc71_02488,-,N,1515,65.94,0.683,,Glucose-6-phosphate isomerase
fasta::barcode71.ffn:bc71_02489,-,bc71_02489,-,N,381,61.94,0.778,,Aspartate 1-decarboxylase
fasta::barcode71.ffn:bc71_02490,-,bc71_02490,-,N,855,67.13,0.733,,Pantothenate synthetase
fasta::barcode71.ffn:bc71_02491,-,bc71_02491,-,N,816,68.63,0.735,,3-methyl-2-oxobutanoate hydroxymethyltransferase
fasta::barcode71.ffn:bc71_02492,-,bc71_02492,-,N,486,71.6,0.708,,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
fasta::barcode71.ffn:bc71_02493,-,bc71_02493,-,N,1368,67.11,0.753,,Poly(A) polymerase I
fasta::barcode71.ffn:bc71_02494,-,bc71_02494,-,N,75,62.67,0.194,,tRNA-Glu(ctc)
fasta::barcode71.ffn:bc71_02495,-,bc71_02495,-,N,936,63.46,0.568,,GTP cyclohydrolase FolE2
fasta::barcode71.ffn:bc71_02496,-,bc71_02496,-,N,1146,66.14,0.586,,N-acetylmuramoyl-L-alanine amidase AmiC
fasta::barcode71.ffn:bc71_02497,-,bc71_02497,-,N,225,64.44,0.574,,hypothetical protein
fasta::barcode71.ffn:bc71_02498,-,bc71_02498,-,N,1539,52.63,0.339,,hypothetical protein
fasta::barcode71.ffn:bc71_02499,-,bc71_02499,-,N,1428,64.29,0.721,,D-xylose-proton symporter
fasta::barcode71.ffn:bc71_02500,-,bc71_02500,-,N,1341,64.73,0.796,,Xylose isomerase
fasta::barcode71.ffn:bc71_02501,-,bc71_02501,-,N,1494,67.2,0.759,,Xylulose kinase
fasta::barcode71.ffn:bc71_02502,-,bc71_02502,-,N,2373,66.71,0.7,,GH95: alpha-L-fucosidase  and 2 other functions.
fasta::barcode71.ffn:bc71_02503,-,bc71_02503,-,N,2904,63.98,0.795,,Alpha-xylosidase BoGH31A
fasta::barcode71.ffn:bc71_02504,-,bc71_02504,-,N,1734,65.86,0.772,,GH35: beta-galactosidase  and 3 other functions.
fasta::barcode71.ffn:bc71_02505,-,bc71_02505,-,N,1914,68.13,0.75,,GH2: beta-galactosidase  and 10 other functions.
fasta::barcode71.ffn:bc71_02506,-,bc71_02506,-,N,111,68.47,0.682,,hypothetical protein
fasta::barcode71.ffn:bc71_02507,-,bc71_02507,-,N,2247,69.25,0.688,,Xyloglucanase
fasta::barcode71.ffn:bc71_02508,-,bc71_02508,-,N,2736,62.43,0.736,,TonB dependent receptor
fasta::barcode71.ffn:bc71_02509,-,bc71_02509,-,N,2913,63.99,0.783,,TonB dependent receptor
fasta::barcode71.ffn:bc71_02510,-,bc71_02510,-,N,972,68.42,0.763,,HTH-type transcriptional regulator GbpR
fasta::barcode71.ffn:bc71_02511,-,bc71_02511,-,N,639,68.08,0.715,,2-dehydro-3-deoxy-6-phosphogalactonate aldolase
fasta::barcode71.ffn:bc71_02512,-,bc71_02512,-,N,1149,64.14,0.79,,D-galactonate dehydratase
fasta::barcode71.ffn:bc71_02513,-,bc71_02513,-,N,912,67.98,0.806,,Coxiella Dot/Icm type IVB secretion system translocated effector 
fasta::barcode71.ffn:bc71_02514,-,bc71_02514,-,N,879,71.22,0.783,,putative 2-dehydro-3-deoxygalactonokinase DgoK1
fasta::barcode71.ffn:bc71_02515,-,bc71_02515,-,N,324,62.65,0.728,,Ferredoxin 1
fasta::barcode71.ffn:bc71_02516,-,bc71_02516,-,N,519,69.94,0.768,,hypothetical protein
fasta::barcode71.ffn:bc71_02517,-,bc71_02517,-,N,909,70.19,0.667,,4-hydroxy-tetrahydrodipicolinate synthase
fasta::barcode71.ffn:bc71_02518,-,bc71_02518,-,N,576,63.19,0.698,,Glycine cleavage system transcriptional repressor
fasta::barcode71.ffn:bc71_02519,-,bc71_02519,-,N,351,58.69,0.718,,Regulator of ribonuclease activity B
fasta::barcode71.ffn:bc71_02520,-,bc71_02520,-,N,483,63.98,0.777,,Peroxiredoxin Bcp
fasta::barcode71.ffn:bc71_02521,-,bc71_02521,-,N,1398,63.45,0.811,,PhoH-like protein
fasta::barcode71.ffn:bc71_02522,-,bc71_02522,-,N,480,67.08,0.7,,hypothetical protein
fasta::barcode71.ffn:bc71_02523,-,bc71_02523,-,N,816,66.05,0.664,,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
fasta::barcode71.ffn:bc71_02524,-,bc71_02524,-,N,852,69.37,0.616,,Serine aminopeptidase S33
fasta::barcode71.ffn:bc71_02525,-,bc71_02525,-,N,77,62.34,0.324,,tRNA-Arg(acg)
fasta::barcode71.ffn:bc71_02526,-,bc71_02526,-,N,77,62.34,0.324,,tRNA-Arg(acg)
fasta::barcode71.ffn:bc71_02527,-,bc71_02527,-,N,993,67.67,0.655,,SNARE associated Golgi protein
fasta::barcode71.ffn:bc71_02528,-,bc71_02528,-,N,83,71.08,0.458,,tRNA-Ile(tat)
fasta::barcode71.ffn:bc71_02529,-,bc71_02529,-,N,702,65.24,0.792,,Quercetin 23-dioxygenase
fasta::barcode71.ffn:bc71_02530,-,bc71_02530,-,N,1893,64.03,0.698,,PAS fold protein
fasta::barcode71.ffn:bc71_02531,-,bc71_02531,-,N,138,63.04,0.655,,hypothetical protein
fasta::barcode71.ffn:bc71_02532,-,bc71_02532,-,N,93,61.29,0.215,,tRNA-Ser(gct)
fasta::barcode71.ffn:bc71_02533,-,bc71_02533,-,N,213,58.22,0.567,,Translational regulator CsrA
fasta::barcode71.ffn:bc71_02534,-,bc71_02534,-,N,2649,63.99,0.679,,Alanine--tRNA ligase
fasta::barcode71.ffn:bc71_02535,-,bc71_02535,-,N,489,63.39,0.499,,Regulatory protein RecX
fasta::barcode71.ffn:bc71_02536,-,bc71_02536,-,N,1032,63.76,0.807,,Protein RecA
fasta::barcode71.ffn:bc71_02537,-,bc71_02537,-,N,642,67.6,0.699,,LexA repressor
fasta::barcode71.ffn:bc71_02538,-,bc71_02538,-,N,1677,66.55,0.686,,putative protein kinase UbiB
fasta::barcode71.ffn:bc71_02539,-,bc71_02539,-,N,2541,64.42,0.631,,Vitamin B12 transporter BtuB
fasta::barcode71.ffn:bc71_02540,-,bc71_02540,-,N,495,66.87,0.599,,Nicotinamide-nucleotide amidohydrolase PncC
fasta::barcode71.ffn:bc71_02541,-,bc71_02541,-,N,1320,65.76,0.665,,GTPase HflX
fasta::barcode71.ffn:bc71_02542,-,bc71_02542,-,N,279,57.71,0.607,,RNA-binding protein Hfq
fasta::barcode71.ffn:bc71_02543,-,bc71_02543,-,N,984,69.92,0.644,,tRNA dimethylallyltransferase
fasta::barcode71.ffn:bc71_02544,-,bc71_02544,-,N,903,67.55,0.668,,Dihydropteroate synthase
fasta::barcode71.ffn:bc71_02545,-,bc71_02545,-,N,1941,63.06,0.736,,ATP-dependent zinc metalloprotease FtsH
fasta::barcode71.ffn:bc71_02546,-,bc71_02546,-,N,633,63.19,0.62,,Ribosomal RNA large subunit methyltransferase E
fasta::barcode71.ffn:bc71_02547,-,bc71_02547,-,N,306,63.4,0.734,,RNA-binding protein
fasta::barcode71.ffn:bc71_02548,-,bc71_02548,-,N,375,67.2,0.724,,hypothetical protein
fasta::barcode71.ffn:bc71_02549,-,bc71_02549,-,N,783,68.33,0.658,,CBM50: Modules of approx. 50 residues found attached to various enzymes from families GH18 GH19 GH23 GH24 GH25 and GH73 i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID:)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below.
fasta::barcode71.ffn:bc71_02550,-,bc71_02550,-,N,615,67.32,0.718,,hypothetical protein
fasta::barcode71.ffn:bc71_02551,-,bc71_02551,-,N,678,67.7,0.691,,Protein-L-isoaspartate O-methyltransferase
fasta::barcode71.ffn:bc71_02552,-,bc71_02552,-,N,780,66.41,0.654,,5'-nucleotidase SurE
fasta::barcode71.ffn:bc71_02553,-,bc71_02553,-,N,540,65.56,0.61,,putative DNA endonuclease SmrA
fasta::barcode71.ffn:bc71_02554,-,bc71_02554,-,N,1104,67.12,0.653,,tRNA pseudouridine synthase D
fasta::barcode71.ffn:bc71_02555,-,bc71_02555,-,N,492,64.84,0.676,,2-C-methyl-D-erythritol 24-cyclodiphosphate synthase
fasta::barcode71.ffn:bc71_02556,-,bc71_02556,-,N,798,68.8,0.582,,bifunctional; ribulose 5-phosphate reductase; CDP-ribitol pyrophosphorylase 
fasta::barcode71.ffn:bc71_02557,-,bc71_02557,-,N,366,64.48,0.618,,Cell division protein FtsB
fasta::barcode71.ffn:bc71_02558,-,bc71_02558,-,N,1293,64.42,0.791,,Enolase
fasta::barcode71.ffn:bc71_02559,-,bc71_02559,-,N,333,70.57,0.647,,hypothetical protein
fasta::barcode71.ffn:bc71_02560,-,bc71_02560,-,N,831,62.45,0.758,,2-dehydro-3-deoxyphosphooctonate aldolase 
fasta::barcode71.ffn:bc71_02561,-,bc71_02561,-,N,1665,63.96,0.764,,CTP synthase
fasta::barcode71.ffn:bc71_02562,-,bc71_02562,-,N,240,67.92,0.734,,hypothetical protein
fasta::barcode71.ffn:bc71_02563,-,bc71_02563,-,N,1890,64.76,0.801,,DNA topoisomerase 4 subunit B
fasta::barcode71.ffn:bc71_02564,-,bc71_02564,-,N,930,67.63,0.655,,CDP-diacylglycerol pyrophosphatase
fasta::barcode71.ffn:bc71_02565,-,bc71_02565,-,N,1473,66.26,0.743,,Serine carboxypeptidase
fasta::barcode71.ffn:bc71_02566,-,bc71_02566,-,N,762,68.24,0.767,,hypothetical protein
fasta::barcode71.ffn:bc71_02567,-,bc71_02567,-,N,1128,65.43,0.758,,Phosphate transporter family protein
fasta::barcode71.ffn:bc71_02568,-,bc71_02568,-,N,627,61.72,0.811,,hypothetical protein
fasta::barcode71.ffn:bc71_02569,-,bc71_02569,-,N,1311,65.37,0.825,,Hemolysin A 
fasta::barcode71.ffn:bc71_02570,-,bc71_02570,-,N,675,66.52,0.67,,Exopolysaccharide synthesis ExoD
fasta::barcode71.ffn:bc71_02571,-,bc71_02571,-,N,501,63.47,0.695,,Pyridoxamine 5'-phosphate oxidase like protein
fasta::barcode71.ffn:bc71_02572,-,bc71_02572,-,N,1002,67.96,0.727,,Luciferase-like monooxygenase
fasta::barcode71.ffn:bc71_02573,-,bc71_02573,-,N,1407,65.6,0.624,,Inner membrane metabolite transport protein YdjE
fasta::barcode71.ffn:bc71_02574,-,bc71_02574,-,N,1701,68.78,0.651,,Heterocyst differentiation ATP-binding protein HepA
fasta::barcode71.ffn:bc71_02575,-,bc71_02575,-,N,1089,68.5,0.661,,hypothetical protein
fasta::barcode71.ffn:bc71_02576,-,bc71_02576,-,N,1485,65.86,0.743,,Radical SAM superfamily protein
fasta::barcode71.ffn:bc71_02577,-,bc71_02577,-,N,1215,68.4,0.648,,putative nucleotidyltransferase
fasta::barcode71.ffn:bc71_02578,-,bc71_02578,-,N,1113,69.72,0.7,,GT4: sucrose synthase  and 21 other functions.
fasta::barcode71.ffn:bc71_02579,-,bc71_02579,-,N,1125,69.16,0.621,,GT4: sucrose synthase  and 21 other functions.
fasta::barcode71.ffn:bc71_02580,-,bc71_02580,-,N,711,69.2,0.698,,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial
fasta::barcode71.ffn:bc71_02581,-,bc71_02581,-,N,1215,69.63,0.678,,5'-deoxyadenosine deaminase
fasta::barcode71.ffn:bc71_02582,-,bc71_02582,-,N,846,68.2,0.724,,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial
fasta::barcode71.ffn:bc71_02583,-,bc71_02583,-,N,855,68.19,0.7,,hypothetical protein
fasta::barcode71.ffn:bc71_02584,-,bc71_02584,-,N,1089,64,0.68,,hypothetical protein
fasta::barcode71.ffn:bc71_02585,-,bc71_02585,-,N,939,57.93,0.454,,Glycosyl transferase family 2
